Sector number,Name,Unit,Region,DR_WEOH_impact_(DALYper$),TR_WEOH_impact_(DALYper$)
136,Other major household appliance manufacturing,USA,America,1.78E-08,4.14E-08
137,"Power, distribution, and specialty transformer manufacturing",USA,America,3.23E-08,5.51E-08
138,Motor and generator manufacturing,USA,America,1.09E-08,3.59E-08
139,Switchgear and switchboard apparatus manufacturing,USA,America,6.40E-09,2.85E-08
140,Relay and industrial control manufacturing,USA,America,5.69E-09,2.70E-08
141,Storage battery manufacturing,USA,America,1.25E-08,3.08E-08
142,Primary battery manufacturing,USA,America,1.78E-08,3.87E-08
143,Communication and energy wire and cable manufacturing,USA,America,8.41E-09,4.15E-08
144,Wiring device manufacturing,USA,America,3.25E-08,5.30E-08
145,Carbon and graphite product manufacturing,USA,America,1.07E-08,2.88E-08
146,All other miscellaneous electrical equipment and component manufacturing,USA,America,1.17E-08,3.18E-08
147,Automobile manufacturing,USA,America,1.46E-08,5.15E-08
148,Light truck and utility vehicle manufacturing,USA,America,3.06E-09,4.37E-08
149,Heavy duty truck manufacturing,USA,America,7.96E-09,4.56E-08
150,Motor vehicle body manufacturing,USA,America,4.96E-08,8.50E-08
151,Truck trailer manufacturing,USA,America,7.01E-08,1.07E-07
152,Motor home manufacturing,USA,America,3.23E-08,6.53E-08
153,Travel trailer and camper manufacturing,USA,America,7.11E-08,1.13E-07
154,Motor vehicle gasoline engine and engine parts manufacturing,USA,America,1.56E-08,6.51E-08
155,Motor vehicle electrical and electronic equipment manufacturing,USA,America,1.61E-08,4.78E-08
156,Motor vehicle transmission and power train parts manufacturing,USA,America,1.15E-08,6.03E-08
157,Motor vehicle seating and interior trim manufacturing,USA,America,1.42E-08,5.84E-08
158,Motor vehicle metal stamping,USA,America,1.77E-08,4.42E-08
159,Other Motor Vehicle Parts Manufacturing,USA,America,1.99E-08,5.76E-08
160,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",USA,America,1.89E-08,6.10E-08
161,Aircraft manufacturing,USA,America,6.52E-09,2.14E-08
162,Aircraft engine and engine parts manufacturing,USA,America,4.53E-09,1.68E-08
163,Other aircraft parts and auxiliary equipment manufacturing,USA,America,1.44E-08,3.33E-08
164,Guided missile and space vehicle manufacturing,USA,America,4.35E-09,1.89E-08
165,Propulsion units and parts for space vehicles and guided missiles,USA,America,2.20E-08,3.43E-08
166,Railroad rolling stock manufacturing,USA,America,5.42E-09,4.17E-08
167,Ship building and repairing,USA,America,5.84E-08,7.94E-08
168,Boat building,USA,America,7.37E-08,1.05E-07
169,"Motorcycle, bicycle, and parts manufacturing",USA,America,9.01E-09,2.86E-08
170,"Military armored vehicle, tank, and tank component manufacturing",USA,America,1.15E-08,3.39E-08
171,All other transportation equipment manufacturing,USA,America,1.55E-08,5.00E-08
172,Wood kitchen cabinet and countertop manufacturing,USA,America,1.13E-07,1.50E-07
173,Upholstered household furniture manufacturing,USA,America,3.79E-08,7.89E-08
174,Nonupholstered wood household furniture manufacturing,USA,America,4.36E-08,8.30E-08
175,Institutional furniture manufacturing,USA,America,3.17E-08,6.24E-08
176,Other household nonupholstered furniture,USA,America,1.81E-07,2.12E-07
177,"Showcase, partition, shelving, and locker manufacturing",USA,America,4.57E-08,7.49E-08
178,Office furniture and custom architectural woodwork and millwork manufacturing,USA,America,2.89E-08,6.55E-08
